caio
Dia 1 (Segunda-feira) - Treino de Peito e Trï¿½ceps:;Supino Reto: 4x10;Supino Inclinado com Halteres: 3x12;Crucifixo na Mï¿½quina: 3x12;Trï¿½ceps Testa: 4x10;Trï¿½ceps Corda no Pulley: 3x12;
dia 2 (terï¿½a-feira) - treino de pernas: ;agachamento livre: 4x10 ;leg press: 3x12 ;cadeira extensora: 3x12 ;flexora deitado: 4x10 ;panturrilha no leg press: 4x15 ;
dia 3 (quarta-feira) - treino de costas e bï¿½ceps: ;barra fixa: 4x10 ;remada curvada com barra: 3x12 ;puxador frente: 3x12 ;rosca direta com halteres: 4x10 ;rosca alternada: 3x12 ;
$
uscria
dia 1 (segunda-feira) - treino de peito e trï¿½ceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na mï¿½quina: 3x12;trï¿½ceps testa: 4x10;trï¿½ceps corda no pulley: 3x12;
dia 2 (terï¿½a-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e bï¿½ceps:;remada curvada: 4x10;puxada alta: 3x12;pulldown: 3x12;rosca direta: 4x10;rosca alternada com halteres: 3x12;
dia 4 (quinta-feira) - treino de ombros e trapï¿½zio:;desenvolvimento com barra: 4x10;elevaï¿½ï¿½o lateral: 3x12;remada alta: 3x12;encolhimento de ombros com halteres: 4x10;encolhimento de ombros na mï¿½quina: 3x12;
dia 5 (sexta-feira) - treino de abdï¿½men e cardio:;prancha: 4 sï¿½ries de 30 segundos;crunch: 3x15;elevaï¿½ï¿½o de pernas: 3x12;esteira: 30 minutos de caminhada em ritmo moderado;
dia 6 (sï¿½bado) - treino de panturrilha e cardio:;panturrilha no gï¿½meos sentado: 4x15;panturrilha no gï¿½meos em pï¿½: 4x15;caminhada na esteira: 30 minutos em ritmo acelerado;
$
seila
dia 1 (segunda-feira) - treino de peito e trï¿½ceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na mï¿½quina: 3x12;trï¿½ceps testa: 4x10;trï¿½ceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e bï¿½ceps:;barra fixa: 3x10;puxada alta: 3x12;remada curvada: 4x10;rosca direta: 4x10;rosca alternada com halteres: 3x12;
dia 4 (quinta-feira) - treino de ombros e trapï¿½zio:;desenvolvimento com barra: 4x10;elevacï¿½o frontal com halteres: 3x12;elevacï¿½o lateral: 3x12;encolhimento de ombros: 4x10;remada alta com barra: 3x12;
dia 5 (sexta-feira) - treino de abdï¿½men e aerï¿½bico:;prancha: 3 sï¿½ries (30 segundos cada);crunch: 4x15;elevacï¿½o de pernas: 3x12;esteira: 30 minutos (intensidade moderada);
$
meajuda
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;levantamento terra: 4x10;remada curvada: 3x12;pulldown frontal: 3x12;rosca direta: 4x10;rosca alternada: 3x12;
dia 4 (quinta-feira) - treino de ombros e abdominais:;desenvolvimento militar: 4x10;elevacoes laterais: 3x12;encolhimento de ombros: 3x12;prancha abdominal: 3x30 segundos;elevacao de pernas suspenso na barra fixa: 3x12;
$
naosdaf
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;puxada na maquina: 4x10;remada curvada: 3x12;pull-down: 3x12;rosca direta: 4x10;rosca alternada com halteres: 3x12;
dia 4 (quinta-feira) - treino de ombros e abdomen:;desenvolvimento com halteres: 4x10;elevacao lateral: 3x12;remada alta: 3x12;prancha abdominal: 4x1 minuto;crunch: 3x15;
dia 5 (sexta-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
$
gb
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;levantamento terra: 4x10;barra fixa supinada: 3x12;remada curvada: 3x12;rosca direta: 4x10;rosca alternada com halteres: 3x12;
dia 4 (quinta-feira) - treino de ombros e trapézio:;desenvolvimento de ombros: 4x10;elevacao lateral: 3x12;desenvolvimento arnold: 3x12;encolhimento de ombros: 4x10;remada alta: 3x12;
dia 5 (sexta-feira) - treino de pernas:;agachamento hack: 4x10;leg press 45º: 3x12;cadeira flexora: 3x12;stiff: 4x10;panturrilha em pé: 4x15;
dia 6 (sabado) - treino de peito e triceps:;supino inclinado com barra: 4x10;supino declinado com halteres: 3x12;crossover: 3x12;triceps testa com halteres: 4x10;triceps corda no pulley: 3x12;
dia 7 (domingo) - treino de costas e biceps:;barra fixa pronada: 4x10;puxada alta: 3x12;remada baixa: 3x12;rosca scot: 4x10;rosca martelo: 3x12;
$
janael
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;barra fixa: 3x10;puxada frontal: 3x12;remada curvada: 4x10;rosca direta: 3x12;rosca alternada: 3x12;
dia 4 (quinta-feira) - treino de ombros e abdomen:;desenvolvimento com halteres: 3x10;elevacao lateral: 3x12;remada alta: 4x10;prancha: 3x30 segundos;crunch: 4x15;
dia 5 (sexta-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
$
nao aguento mais esse trabalho
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;barra fixa: 4x10;puxada alta frente: 3x12;remada baixa com barra: 3x12;rosca direta com barra: 4x10;rosca alternada com halteres: 3x12;
dia 4 (quinta-feira) - treino de ombros e trapezio:;desenvolvimento com barra: 4x10;elevacao lateral com halteres: 3x12;remada alta: 3x12;encolhimento de ombros com halteres: 4x10;encolhimento de ombros na maquina: 3x12;
dia 5 (sexta-feira) - treino de abdomen e cardio:;prancha abdominal: 4x30 segundos;crunch: 3x20;elevacao de pernas: 3x15;esteira - corrida: 20 minutos;
$
acho que ta 
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;barra fixa: 4x10;puxada alta no pulley: 3x12;remada curvada: 3x12;rosca direta: 4x10;rosca alternada: 3x12;
dia 4 (quinta-feira) - treino de ombros e triceps:;desenvolvimento com halteres: 4x10;elevacao frontal: 3x12;elevacao lateral: 3x12;triceps corda no pulley: 4x10;triceps testa com halteres: 3x12;
dia 5 (sexta-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 6 (sabado) - treino de peito, ombros e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;desenvolvimento com halteres: 4x10;elevacao frontal: 3x12;elevacao lateral: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
$
cu123
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;barra fixa: 3x10;remada baixa: 5x10;puxada alta: 3x12;rosca direta: 4x10;rosca martelo: 3x12;
dia 4 (quinta-feira) - treino de ombros e abdomen:;desenvolvimento militar: 4x10;elevacao lateral: 3x12;remada alta: 3x12;prancha abdominal: 4x30 segundos;crunch: 3x15;
dia 5 (sexta-feira) - treino de pernas e glúteos:;agachamento com barra: 4x10;afundo no smith: 3x12;mesa flexora: 3x12;cadeira abdutora: 4x10;elevacao de quadril: 4x15;
$
teste2
dia 1 (segunda-feira) - treino de peito e triceps:;supino reto: 4x10;supino inclinado com halteres: 3x12;crucifixo na maquina: 3x12;triceps testa: 4x10;triceps corda no pulley: 3x12;
dia 2 (terca-feira) - treino de pernas:;agachamento livre: 4x10;leg press: 3x12;cadeira extensora: 3x12;flexora deitado: 4x10;panturrilha no leg press: 4x15;
dia 3 (quarta-feira) - treino de costas e biceps:;barra fixa supinada: 4x8;remada curvada: 3x12;pull down: 3x12;rosca direta: 4x10;rosca alternada: 3x12;
dia 4 (quinta-feira) - treino de ombros e triceps:;desenvolvimento com barra: 4x10;elevacao lateral: 3x12;remada alta: 3x12;triceps francês: 4x10;triceps mergulho: 3x12;
dia 5 (sexta-feira) - treino de pernas:;agachamento hack: 4x10;cadeira extensora: 3x12;leg press 45º: 3x12;flexora sentado: 4x10;stiff: 3x12;
dia 6 (sabado) - treino de peito e bracos:;supino inclinado: 4x10;crucifixo declinado: 3x12;paralelas: 3x12;rosca direta: 4x10;rosca alternada: 3x12;rosca martelo: 3x12;
dia 7 (domingo) - descanso;
$
